ssn,album_id
100000000,7
100000000,21
100000000,24
100000001,5
100000001,7
100000001,16
100000002,9
100000002,14
100000002,15
100000002,21
100000003,2
100000003,8
100000003,10
100000003,14
100000003,15
100000003,19
100000004,1
100000004,4
100000004,5
100000004,9
100000004,12
100000004,15
100000004,24
100000005,5
100000005,7
100000005,8
100000005,14
100000005,16
100000005,17
100000005,18
100000006,3
100000006,4
100000006,6
100000006,12
100000006,21
100000006,23
100000007,2
100000007,3
100000007,12
100000007,25
100000008,20
100000009,3
100000009,7
100000009,10
100000009,11
100000009,21
100000009,22
100000009,23
100000010,4
100000010,7
100000011,15
100000011,22
100000012,4
100000012,9
100000012,13
100000012,16
100000012,22
100000013,2
100000013,4
100000013,5
100000013,6
100000014,2
100000014,11
100000015,3
100000015,9
100000015,10
100000015,13
100000015,20
100000015,23
100000015,24
100000016,3
100000016,4
100000016,7
100000016,11
100000017,1
100000017,2
100000017,6
100000017,9
100000017,15
100000017,21
100000017,24
100000018,17
100000018,19
100000019,5
100000019,8
100000019,12
100000019,14
100000019,18
100000019,19
100000020,10
100000020,16
100000021,3
100000021,8
100000021,11
100000021,12
100000021,13
100000021,20
100000021,24
100000022,10
100000022,13
100000022,17
100000022,20
100000022,21
100000023,9
100000023,14
100000023,15
100000023,16
100000023,22
100000023,24
100000024,8
100000024,12
100000025,5
100000025,22
100000026,5
100000026,6
100000027,5
100000027,8
100000027,11
100000027,24
100000028,3
100000028,7
100000028,11
100000028,15
100000028,16
100000028,25
100000029,3
100000029,6
100000029,8
100000029,11
100000029,13
100000030,7
100000031,1
100000031,6
100000031,12
100000031,13
100000031,15
100000031,19
100000031,24
100000032,6
100000032,10
100000032,13
100000032,14
100000032,16
100000032,17
100000033,1
100000033,3
100000033,7
100000033,9
100000033,17
100000033,20
100000033,23
100000034,3
100000034,19
100000035,9
100000035,13
100000035,18
100000035,20
100000035,23
100000036,1
100000036,5
100000036,12
100000036,13
100000036,19
100000036,23
100000037,5
100000037,15
100000037,16
100000037,21
100000037,22
100000038,1
100000038,23
100000039,5
100000039,13
100000039,18
100000039,25
100000040,2
100000040,18
100000041,3
100000041,4
100000041,19
100000041,21
100000042,11
100000042,12
100000042,13
100000042,17
100000042,21
100000042,25
100000043,2
100000043,3
100000043,4
100000043,5
100000043,10
100000043,21
